Origin Airport,Airline Name,Departure Hour,Day of Week,Year,Month,On-Time,Number of Flights,Flights Delayed,Flights Cancelled,Avg Delay (min)
IAD,United Air Lines Inc.,8:00 AM,Tuesday,2009,March,54,72,18,0,24
IAD,United Air Lines Inc.,8:00 AM,Monday,2009,November,52,58,6,0,15
IAD,United Air Lines Inc.,8:00 AM,Monday,2009,September,44,50,6,0,19
IAD,United Air Lines Inc.,8:00 AM,Monday,2009,May,41,61,20,0,16
IAD,United Air Lines Inc.,8:00 AM,Monday,2009,February,43,58,15,0,20
IAD,United Air Lines Inc.,8:00 AM,Monday,2009,January,41,57,16,0,35
IAD,United Air Lines Inc.,8:00 AM,Sunday,2009,November,51,56,5,0,10
IAD,United Air Lines Inc.,8:00 AM,Sunday,2009,October,39,54,15,0,22
IAD,United Air Lines Inc.,8:00 AM,Sunday,2009,August,58,81,23,0,25
IAD,United Air Lines Inc.,8:00 AM,Sunday,2009,July,50,67,17,0,22
IAD,United Air Lines Inc.,8:00 AM,Sunday,2009,June,45,67,22,0,18
IAD,United Air Lines Inc.,8:00 AM,Sunday,2009,March,53,77,24,0,22
IAD,United Air Lines Inc.,8:00 AM,Sunday,2009,February,44,60,16,0,16
IAD,Mesa Airlines Inc.,8:00 AM,Saturday,2009,August,26,44,18,0,20
IAD,Mesa Airlines Inc.,8:00 AM,Saturday,2009,July,22,37,15,0,21
IAD,Mesa Airlines Inc.,8:00 AM,Saturday,2009,May,37,50,13,0,20
IAD,Mesa Airlines Inc.,8:00 AM,Saturday,2009,April,21,35,14,0,15
IAD,Mesa Airlines Inc.,8:00 AM,Saturday,2009,January,38,56,18,0,31
IAD,Mesa Airlines Inc.,8:00 AM,Friday,2009,September,31,44,13,0,47
IAD,Mesa Airlines Inc.,8:00 AM,Friday,2009,July,21,29,8,0,35
IAD,Mesa Airlines Inc.,8:00 AM,Friday,2009,June,14,25,11,0,30
IAD,Mesa Airlines Inc.,8:00 AM,Friday,2009,May,31,46,15,0,33
IAD,Mesa Airlines Inc.,8:00 AM,Friday,2009,April,19,32,13,0,42
IAD,Mesa Airlines Inc.,8:00 AM,Friday,2009,February,19,30,11,0,14
IAD,Mesa Airlines Inc.,8:00 AM,Friday,2009,January,27,48,21,0,23
IAD,Mesa Airlines Inc.,8:00 AM,Thursday,2009,September,36,45,9,0,6
IAD,Mesa Airlines Inc.,8:00 AM,Thursday,2009,August,14,20,6,0,27
IAD,Mesa Airlines Inc.,8:00 AM,Thursday,2009,July,22,28,6,0,28
IAD,Mesa Airlines Inc.,8:00 AM,Wednesday,2009,October,21,40,19,0,28
IAD,Mesa Airlines Inc.,8:00 AM,Wednesday,2009,September,37,53,16,0,32
IAD,Mesa Airlines Inc.,8:00 AM,Wednesday,2009,August,15,20,5,0,8
IAD,Mesa Airlines Inc.,8:00 AM,Wednesday,2009,July,22,28,6,0,71
IAD,Mesa Airlines Inc.,8:00 AM,Wednesday,2009,June,18,26,8,0,29
IAD,Mesa Airlines Inc.,8:00 AM,Wednesday,2009,May,27,36,9,0,9
IAD,Mesa Airlines Inc.,8:00 AM,Wednesday,2009,April,29,40,11,0,11
IAD,Mesa Airlines Inc.,8:00 AM,Wednesday,2009,February,21,30,9,0,45
IAD,Mesa Airlines Inc.,8:00 AM,Tuesday,2009,November,34,44,10,0,19
IAD,Mesa Airlines Inc.,8:00 AM,Tuesday,2009,October,26,37,11,0,39
IAD,Mesa Airlines Inc.,8:00 AM,Tuesday,2009,July,13,22,9,0,35
IAD,Mesa Airlines Inc.,8:00 AM,Tuesday,2009,June,22,34,12,0,59
IAD,Mesa Airlines Inc.,8:00 AM,Tuesday,2009,April,29,38,9,0,15
IAD,Mesa Airlines Inc.,8:00 AM,Tuesday,2009,February,21,31,10,0,25
IAD,Mesa Airlines Inc.,8:00 AM,Tuesday,2009,January,15,37,22,0,49
IAD,Mesa Airlines Inc.,8:00 AM,Monday,2009,November,43,55,12,0,25
IAD,Mesa Airlines Inc.,8:00 AM,Monday,2009,October,27,42,15,0,26
IAD,Mesa Airlines Inc.,8:00 AM,Monday,2009,July,19,23,4,0,51
IAD,Mesa Airlines Inc.,8:00 AM,Monday,2009,June,19,34,15,0,39
IAD,Mesa Airlines Inc.,8:00 AM,Monday,2009,May,21,36,15,0,17
IAD,Mesa Airlines Inc.,8:00 AM,Monday,2009,February,22,28,6,0,35
IAD,Mesa Airlines Inc.,8:00 AM,Sunday,2009,October,35,49,14,0,30
IAD,Mesa Airlines Inc.,8:00 AM,Sunday,2009,September,32,44,12,0,23
IAD,Mesa Airlines Inc.,8:00 AM,Sunday,2009,August,24,30,6,0,42
IAD,Mesa Airlines Inc.,8:00 AM,Sunday,2009,July,24,31,7,0,32
